name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,instructions,category,id,image1,image2
Lying Triceps Press,push,intermediate,isolation,e-z curl bar,triceps,,"'Lie on a flat bench with either an e-z bar (my preference) or a straight bar placed on the floor behind your head and your feet on the floor.', 'Grab the bar behind you, using a medium overhand (pronated) grip, and raise the bar in front of you at arms length. Tip: The arms should be perpendicular to the torso and the floor. The elbows should be tucked in. This is the starting position.', 'As you breathe in, slowly lower the weight until the bar lightly touches your forehead while keeping the upper arms and elbows stationary.', 'At that point, use the triceps to bring the weight back up to the starting position as you breathe out.', 'Repeat for the recommended amount of repetitions.'",strength,Lying_Triceps_Press,Lying_Triceps_Press/0.jpg,Lying_Triceps_Press/1.jpg
Muscle Up,pull,intermediate,compound,other,lats,"abdominals, biceps, forearms, middle back, shoulders, traps, triceps","'Grip the rings using a false grip, with the base of your palms on top of the rings. Initiate a pull up by pulling the elbows down to your side, flexing the elbows.', 'As you reach the top position of the pull-up, pull the rings to your armpits as you roll your shoulders forward, allowing your elbows to move straight back behind you. This puts you into the proper position to continue into the dip portion of the movement.', 'Maintaining control and stability, extend through the elbow to complete the motion.', 'Use care when lowering yourself to the ground.'",strength,Muscle_Up,Muscle_Up/0.jpg,Muscle_Up/1.jpg
Narrow Stance Squats,push,intermediate,compound,barbell,quadriceps,"calves, glutes, hamstrings, lower back","'This exercise is best performed inside a squat rack for safety purposes. To begin, first set the bar on a rack that best matches your height. Once the correct height is chosen and the bar is loaded, step under the bar and place the back of your shoulders (slightly below the neck) across it.', 'Hold on to the bar using both arms at each side and lift it off the rack by first pushing with your legs and at the same time straightening your torso.', 'Step away from the rack and position your legs using a less-than-shoulder-width narrow stance with the toes slightly pointed out. Feet should be around 3-6 inches apart. Keep your head up at all times (looking down will get you off balance) and maintain a straight back. This will be your starting position. (Note: For the purposes of this discussion we will use the medium stance described above which targets overall development; however you can choose any of the three stances discussed in the foot stances section).', 'Begin to slowly lower the bar by bending the knees as you maintain a straight posture with the head up. Continue down until the angle between the upper leg and the calves becomes slightly less than 90-degrees (which is the point in which the upper legs are below parallel to the floor). Inhale as you perform this portion of the movement. Tip: If you performed the exercise correctly, the front of the knees should make an imaginary straight line with the toes that is perpendicular to the front. If your knees are past that imaginary line (if they are past your toes) then you are placing undue stress on the knee and the exercise has been performed incorrectly.', 'Begin to raise the bar as you exhale by pushing the floor with the heel of your foot mainly as you straighten the legs again and go back to the starting position.', 'Repeat for the recommended amount of repetitions.'",strength,Narrow_Stance_Squats,Narrow_Stance_Squats/0.jpg,Narrow_Stance_Squats/1.jpg
Neck Press,push,intermediate,compound,barbell,chest,"shoulders, triceps","'Lie back on a flat bench. Using a medium-width grip (a grip that creates a 90-degree angle in the middle of the movement between the forearms and the upper arms), lift the bar from the rack and hold it straight over your neck with your arms locked. This will be your starting position.', 'As you breathe in, come down slowly until you feel the bar on your neck.', 'After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your chest muscles. Lock your arms and squeeze your chest in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up).', 'Repeat the movement for the prescribed amount of repetitions.', 'When you are done, place the bar back in the rack.'",strength,Neck_Press,Neck_Press/0.jpg,Neck_Press/1.jpg
One-Arm Kettlebell Clean and Jerk,push,intermediate,compound,kettlebells,shoulders,,"'Hold a kettlebell by the handle.', 'Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces forward.', 'Dip your body by bending the knees, keeping your torso upright.', Immediately reverse direction, driving through the heels, in essence jumping to create momentum. As you do so, press the kettlebell overhead to lockout by extending the arms, using your body's momentum to move the weight., 'Receive the weight overhead by returning to a squat position underneath the weight.', 'Keeping the weight overhead, return to a standing position. Lower the weight to the floor to perform the next repetition.'",strength,One-Arm_Kettlebell_Clean_and_Jerk,One-Arm_Kettlebell_Clean_and_Jerk/0.jpg,One-Arm_Kettlebell_Clean_and_Jerk/1.jpg
One-Arm Kettlebell Military Press To The Side,push,intermediate,compound,kettlebells,shoulders,triceps,"'Clean a kettlebell to your shoulder. Clean the kettlebell to your shoulder by extending through the legs and hips as you pull the kettlebell towards your shoulder. Rotate your wrist as you do so, so that the palm faces inward. This will be your starting position.', 'Look at the kettlebell and press it up and out until it is locked out overhead.', 'Lower the kettlebell back to your shoulder under control and repeat. Make sure to contract your lat, butt, and stomach forcefully for added stability and strength.'",strength,One-Arm_Kettlebell_Military_Press_To_The_Side,One-Arm_Kettlebell_Military_Press_To_The_Side/0.jpg,One-Arm_Kettlebell_Military_Press_To_The_Side/1.jpg
One-Arm Kettlebell Row,pull,intermediate,compound,kettlebells,middle back,"biceps, lats","'Place a kettlebell in front of your feet. Bend your knees slightly and then push your butt out as much as possible as you bend over to get in the starting position. Grab the kettlebell and pull it to your stomach, retracting your shoulder blade and flexing the elbow. Keep your back straight. Lower and repeat.'",strength,One-Arm_Kettlebell_Row,One-Arm_Kettlebell_Row/0.jpg,One-Arm_Kettlebell_Row/1.jpg
One-Arm Open Palm Kettlebell Clean,pull,intermediate,compound,kettlebells,hamstrings,"forearms, glutes, lower back, quadriceps, shoulders","'Place one kettlebell between your feet.', 'Grab the handle with one hand and raise the kettlebell rapidly, let it flip so that the ball of the kettlebell lands in the palm of your hand.', 'Throw the kettlebell out in front of you and catch the handle with one hand.', 'Take the kettlebell to the floor and repeat. Make sure to work both arms.'",strength,One-Arm_Open_Palm_Kettlebell_Clean,One-Arm_Open_Palm_Kettlebell_Clean/0.jpg,One-Arm_Open_Palm_Kettlebell_Clean/1.jpg
Overhead Cable Curl,pull,intermediate,isolation,cable,biceps,,"'To begin, set a weight that is comfortable on each side of the pulley machine. Note: Make sure that the amount of weight selected is the same on each side.', 'Now adjust the height of the pulleys on each side and make sure that they are positioned at a height higher than that of your shoulders.', 'Stand in the middle of both sides and use an underhand grip (palms facing towards the ceiling) to grab each handle. Your arms should be fully extended and parallel to the floor with your feet positioned shoulder width apart from each other. Your body should be evenly aligned the handles. This is the starting position.', 'While exhaling, slowly squeeze the biceps on each side until your forearms and biceps touch.', 'While inhaling, move your forearms back to the starting position. Note: Your entire body is stationary during this exercise except for the forearms.', 'Repeat for the recommended amount of repetitions prescribed in your program.'",strength,Overhead_Cable_Curl,Overhead_Cable_Curl/0.jpg,Overhead_Cable_Curl/1.jpg
Peroneals Stretch,static,intermediate,,other,calves,,"'In a seated position, loop a belt, rope, or band around one foot. This will be your starting position.', 'With the leg extended and the heel off of the ground, pull on the belt so that the foot is inverted, with the inside of the foot being pulled towards you. Hold for 10-20 seconds, and then switch sides.'",stretching,Peroneals_Stretch,Peroneals_Stretch/0.jpg,Peroneals_Stretch/1.jpg
Plate Pinch,static,intermediate,isolation,other,forearms,,"'Grab two wide-rimmed plates and put them together with the smooth sides facing outward', 'Use your fingers to grip the outside part of the plate and your thumb for the other side thus holding both plates together. This is the starting position.', 'Squeeze the plate with your fingers and thumb. Hold this position for as long as you can.', 'Repeat for the recommended amount of sets prescribed in your program.', 'Switch arms and repeat the movements.'",strength,Plate_Pinch,Plate_Pinch/0.jpg,Plate_Pinch/1.jpg
Power Clean,pull,intermediate,compound,barbell,hamstrings,"calves, forearms, glutes, lower back, middle back, quadriceps, shoulders, traps, triceps","'Stand with your feet slightly wider than shoulder width apart and toes pointing out slightly.', 'Squat down and grasp bar with a closed, pronated grip. Your hands should be slightly wider than shoulder width apart outside knees with elbows fully extended.', 'Place the bar about 1 inch in front of your shins and over the balls of your feet.', 'Your back should be flat or slightly arched, your chest held up and out and your shoulder blades should be retracted.', 'Keep your head in a neutral position (in line with vertebral column and not tilted or rotated) with your eyes focused straight ahead. Inhale during this phase.', 'Lift the bar from the floor by forcefully extending the hips and the knees as you exhale. Tip: The upper torso should maintain the same angle. Do not bend at the waist yet and do not let the hips rise before the shoulders (this would have the effect of pushing the glutes in the air and stretching the hamstrings.', 'Keep elbows fully extended with the head in a neutral position and the shoulders over the bar.', 'As the bar raises keep it as close to the shins as possible.', 'As the bar passes the knees, thrust your hips forward and slightly bend the knees to avoid locking them. Tip: At this point your thighs should be against the bar.', 'Keep the back flat or slightly arched, elbows fully extended and your head neutral. Tip: You will hold your breath until the next phase.', 'Inhale and then forcefully and quickly extend your hips and knees and stand on your toes.', 'Keep the bar as close to your body as possible. Tip: Your back should be flat with the elbows pointed out to the sides and your head in a neutral position. Also, keep your shoulders over the bar and arms straight as long as possible.', 'When your lower body joints are fully extended, shrug the shoulders upward rapidly without letting the elbows flex yet. Exhale during this portion of the movement.', 'As the shoulders reach their highest elevation flex your elbows to begin pulling your body under the bar.', 'Continue to pull the arms as high and as long as possible. Tip: Due to the explosive nature of this phase, your torso will be erect or with an arched back, your head will be tilted back slightly and your feet may lose contact with the floor.', 'After the lower body has fully extended and the bar reaches near maximal height, pull your body under the bar and rotate the arms around and under the bar.', 'Simultaneously, flex the hips and knees into a quarter squat position.', 'Once the arms are under the bar, inhale and then lift your elbows to position the upper arms parallel to the floor. Rack the bar across the front of your collar bones and front shoulder muscles.', 'Catch the bar with an erect and tight torso, a neutral head position and flat feet. Exhale during this movement.', 'Stand up by extending the hips and knees to a fully erect position.', 'Lower the bar by gradually reducing the muscular tension of the arms to allow a controlled descent of the bar to the thighs. Inhale during this movement.', 'Simultaneously flex the hips and knees to cushion the impact of the bar on the thighs.', 'Squat down with the elbows fully extended until the bar touches the floor.', 'Start over at Phase 1 and repeat for the recommended amount of repetitions.'",strength,Power_Clean,Power_Clean/0.jpg,Power_Clean/1.jpg
Power Stairs,pull,intermediate,compound,other,hamstrings,"adductors, calves, glutes, lower back, quadriceps, shoulders, traps","'In the power stairs, implements are moved up a staircase. For training purposes, these can be performed with a tire or box.', 'Begin by taking the implement with both hands. Set your feet wide, with your head and chest up. Drive through the ground with your heels, extending your knees and hips to raise the weight from the ground.', 'As you lean back, attempt to swing the weight onto the stairs, which are usually around 16-18 high. You can use your legs to help push the weight onto the stair.', 'Repeat for 3-5 repetitions, and continue with a heavier weight, moving as fast as possible.'",strongman,Power_Stairs,Power_Stairs/0.jpg,Power_Stairs/1.jpg
Push Press - Behind the Neck,push,intermediate,compound,barbell,shoulders,"calves, quadriceps, triceps","'Standing with the weight racked on the back of the shoulders, begin with the dip. With your feet directly under your hips, flex the knees without moving the hips backward. Go down only slightly, and reverse direction as powerfully as possible. Drive through the heels create as much speed and force as possible, moving the bar in a vertical path.', 'Using the momentum generated, finish pressing the weight overhead be extending through the arms.', 'Return to the starting position, using your legs to absorb the impact.'",olympic weightlifting,Push_Press_-_Behind_the_Neck,Push_Press_-_Behind_the_Neck/0.jpg,Push_Press_-_Behind_the_Neck/1.jpg
Rack Delivery,pull,intermediate,compound,barbell,shoulders,"forearms, traps","'This drill teaches the delivery of the barbell to the rack position on the shoulders. Begin holding a bar in the scarecrow position, with the upper arms parallel to the floor, and the forearms hanging down. Use a hook grip, with your fingers wrapped over your thumbs.', 'Begin by rotating the elbows around the bar, delivering the bar to the shoulders. As your elbows come forward, relax your grip. The shoulders should be protracted, providing a shelf for the bar, which should lightly contact the throat.', 'It is important that the bar stay close to the body at all times, as with a heavier load any distance will result in an unwanted collision. As the movement becomes smoother, speed and load can be increased before progressing further.'",olympic weightlifting,Rack_Delivery,Rack_Delivery/0.jpg,Rack_Delivery/1.jpg
Reverse Band Bench Press,push,intermediate,compound,barbell,triceps,"chest, forearms, lats, middle back, shoulders","'Position a bench inside a power rack, with the bar set to the correct height. Begin by anchoring bands either to band pegs or to the top of the rack. Ensure that you will be position properly under the bands. Attach the other end to the barbell.', 'Lie on the bench, tuck your feet underneath you and arch your back. Using the bar to help support your weight, lift your shoulder off the bench and retract them, squeezing the shoulder blades together. Use your feet to drive your traps into the bench. Maintain this tight body position throughout the movement. However wide your grip, it should cover the ring on the bar.', 'Pull the bar out of the rack without protracting your shoulders. Focus on squeezing the bar and trying to pull it apart. Lower the bar to your lower chest or upper stomach. The bar, wrist, and elbow should stay in line at all times.', 'Pause when the barbell touches your torso, and then drive the bar up with as much force as possible. The elbows should be tucked in until lockout.'",powerlifting,Reverse_Band_Bench_Press,Reverse_Band_Bench_Press/0.jpg,Reverse_Band_Bench_Press/1.jpg
Reverse Flyes With External Rotation,pull,intermediate,isolation,dumbbell,shoulders,,"'To begin, lie down on an incline bench set at a 30-degree angle with the chest and stomach pressing against the incline.', 'Have the dumbbells in each hand with the palms facing down to the floor. Your arms should be in front of you so that they are perpendicular to the angle of the bench. Tip: Your elbows should have a slight bend. The legs should be stationary while applying pressure with the ball of your toes (your heels should not be touching the floor). This is the starting position.', 'Maintaining the slight bend of the elbows, move the weights out and away from each other in an arc motion while exhaling.', 'As you lift the weight, your wrist should externally rotate by 90-degrees so that you go from a palms down (pronated) grip to a palms facing each other (neutral) grip. Tip: Try to squeeze your shoulder blades together to get the best results from this exercise.', 'The arms should be elevated until they are level with the head.', 'Feel the contraction and slowly lower the weights back down to the starting position while inhaling.', 'Repeat for the recommended amount of repetitions.'",strength,Reverse_Flyes_With_External_Rotation,Reverse_Flyes_With_External_Rotation/0.jpg,Reverse_Flyes_With_External_Rotation/1.jpg
Reverse Triceps Bench Press,push,intermediate,compound,barbell,triceps,"chest, shoulders","'Lie back on a flat bench. Using a close, supinated grip (around shoulder width), lift the bar from the rack and hold it straight over you with your arms locked extended in front of you and perpendicular to the floor. This will be your starting position.', 'As you breathe in, come down slowly until you feel the bar on your middle chest. Tip: Make sure that as opposed to a regular bench press, you keep the elbows close to the torso at all times in order to maximize triceps involvement.', 'After a second pause, bring the bar back to the starting position as you breathe out and push the bar using your triceps muscles. Lock your arms in the contracted position, hold for a second and then start coming down slowly again. Tip: It should take at least twice as long to go down than to come up.', 'Repeat the movement for the prescribed amount of repetitions.', 'When you are done, place the bar back in the rack.'",strength,Reverse_Triceps_Bench_Press,Reverse_Triceps_Bench_Press/0.jpg,Reverse_Triceps_Bench_Press/1.jpg
Rickshaw Deadlift,pull,intermediate,compound,other,quadriceps,"forearms, glutes, hamstrings, lower back, traps","'Load the frame with the desired weight. Center yourself between the handles. You feet should be about hip width apart. Bend at the hips to grip the handles, allowing your shoulder blades to protract.', 'With your feet and your grip set, take a big breath and then lower your hips and flex the knees. Look forward with your head, keep your chest up and your back arched, and begin driving through the heels to move the weight upward. As the weight comes up, pull your shoulder blades together as you drive your hips forward.', 'Lower the weight by bending at the hips and guiding it to the ground.'",strongman,Rickshaw_Deadlift,Rickshaw_Deadlift/0.jpg,Rickshaw_Deadlift/1.jpg
Romanian Deadlift,pull,intermediate,compound,barbell,hamstrings,"calves, glutes, lower back","'Put a barbell in front of you on the ground and grab it using a pronated (palms facing down) grip that a little wider than shoulder width. Tip: Depending on the weight used, you may need wrist wraps to perform the exercise and also a raised platform in order to allow for better range of motion.', 'Bend the knees slightly and keep the shins vertical, hips back and back straight. This will be your starting position.', 'Keeping your back and arms completely straight at all times, use your hips to lift the bar as you exhale. Tip: The movement should not be fast but steady and under control.', 'Once you are standing completely straight up, lower the bar by pushing the hips back, only slightly bending the knees, unlike when squatting. Tip: Take a deep breath at the start of the movement and keep your chest up. Hold your breath as you lower and exhale as you complete the movement.', 'Repeat for the recommended amount of repetitions.'",strength,Romanian_Deadlift,Romanian_Deadlift/0.jpg,Romanian_Deadlift/1.jpg
Rope Jumping,,intermediate,,other,quadriceps,"calves, hamstrings","'Hold an end of the rope in each hand. Position the rope behind you on the ground. Raise your arms up and turn the rope over your head bringing it down in front of you. When it reaches the ground, jump over it. Find a good turning pace that can be maintained. Different speeds and techniques can be used to introduce variation.', 'Rope jumping is exciting, challenges your coordination, and requires a lot of energy. A 150 lb person will burn about 350 calories jumping rope for 30 minutes, compared to over 450 calories running.'",cardio,Rope_Jumping,Rope_Jumping/0.jpg,Rope_Jumping/1.jpg
Seated Bent-Over Rear Delt Raise,pull,intermediate,isolation,dumbbell,shoulders,,"'Place a couple of dumbbells looking forward in front of a flat bench.', 'Sit on the end of the bench with your legs together and the dumbbells behind your calves.', 'Bend at the waist while keeping the back straight in order to pick up the dumbbells. The palms of your hands should be facing each other as you pick them. This will be your starting position.', 'Keeping your torso forward and stationary, and the arms slightly bent at the elbows, lift the dumbbells straight to the side until both arms are parallel to the floor. Exhale as you lift the weights. (Note: avoid swinging the torso or bringing the arms back as opposed to the side.)', 'After a one second contraction at the top, slowly lower the dumbbells back to the starting position.', 'Repeat for the recommended amount of repetitions.'",strength,Seated_Bent-Over_Rear_Delt_Raise,Seated_Bent-Over_Rear_Delt_Raise/0.jpg,Seated_Bent-Over_Rear_Delt_Raise/1.jpg
Seated Good Mornings,pull,intermediate,compound,barbell,lower back,glutes,"'Set up a box in a power rack. The pins should be set at an appropriate height. Begin by stepping under the bar and placing it across the back of the shoulders, not on top of your traps. Squeeze your shoulder blades together and rotate your elbows forward, attempting to bend the bar across your shoulders.', 'Remove the bar from the rack, creating a tight arch in your lower back. Keep your head facing forward. With your back, shoulders, and core tight, push your knees and butt out and you begin your descent. Sit back with your hips until you are seated on the box. This will be your starting position.', 'Keeping the bar tight, bend forward at the hips as much as possible. If you set the pins to what would be parallel, you not only have a safety if you fail, but know when to stop.', 'Pause just above the pins and reverse the motion until your torso it upright.'",powerlifting,Seated_Good_Mornings,Seated_Good_Mornings/0.jpg,Seated_Good_Mornings/1.jpg
Seated One-Arm Dumbbell Palms-Down Wrist Curl,pull,intermediate,isolation,dumbbell,forearms,,"'Sit on a flat bench with a dumbbell in your right hand.', 'Place your feet flat on the floor, at a distance that is slightly wider than shoulder width apart.', 'Lean forward and place your right forearm on top of your upper right thigh with your palm down. Tip: Make sure that the back of the wrist lies on top of your knees. This will be your starting position.', 'Lower the dumbbell as far as possible as you keep a tight grip on the dumbbell. Inhale as you perform this movement.', 'Now curl the dumbbell as high as possible as you contract the forearms and as you exhale. Keep the contraction for a second before you lower again. Tip: The only movement should happen at the wrist.', 'Perform for the recommended amount of repetitions, switch arms and repeat the movement.'",strength,Seated_One-Arm_Dumbbell_Palms-Down_Wrist_Curl,Seated_One-Arm_Dumbbell_Palms-Down_Wrist_Curl/0.jpg,Seated_One-Arm_Dumbbell_Palms-Down_Wrist_Curl/1.jpg
Side To Side Chins,pull,intermediate,compound,other,lats,"biceps, forearms, middle back, shoulders","'Grab the pull-up bar with the palms facing forward using a wide grip.', 'As you have both arms extended in front of you holding the bar at a wide grip, bring your torso back around 30 degrees or so while creating a curvature on your lower back and sticking your chest out. This is your starting position.', 'Pull your torso up while leaning to the left hand side until the bar almost touches your upper chest by drawing the shoulders and the upper arms down and back. Exhale as you perform this portion of the movement. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space (no swinging) and only the arms should move. The forearms should do no other work other than hold the bar.', 'After a second of contraction, inhale as you go back to the starting position.', 'Now, pull your torso up while leaning to the right hand side until the bar almost touches your upper chest by drawing the shoulders and the upper arms down and back. Exhale as you perform this portion of the movement. Tip: Concentrate on squeezing the back muscles once you reach the full contracted position. The upper torso should remain stationary as it moves through space and only the arms should move. The forearms should do no other work other than hold the bar.', 'After a second of contraction, inhale as you go back to the starting position.', 'Repeat steps 3-6 until you have performed the prescribed amount of repetitions for each side.'",strength,Side_To_Side_Chins,Side_To_Side_Chins/0.jpg,Side_To_Side_Chins/1.jpg
Skating,,intermediate,,other,quadriceps,"abductors, adductors, calves, glutes, hamstrings","'Roller skating is a fun activity which can be effective in improving cardiorespiratory fitness and muscular endurance. It requires relatively good balance and coordination. It is necessary to learn the basics of skating including turning and stopping and to wear protective gear to avoid possible injury.', 'You can skate at a comfortable pace for 30 minutes straight. If you want a cardio challenge, do interval skating — speed skate two minutes of every five minutes, using the remaining three minutes to recover. A 150 lb person will typically burn about 175 calories in 30 minutes skating at a comfortable pace, similar to brisk walking.'",cardio,Skating,Skating/0.jpg,Skating/1.jpg
Smith Machine Pistol Squat,push,intermediate,compound,machine,quadriceps,"calves, glutes, hamstrings","'To begin, first set the bar to a position that best matches your height. Step under it and position the bar across the back of your shoulders.', 'Take the bar with your hands facing forward, unlock it and lift it off the rack by extending your legs. 3', 'Move one foot forward about 12 inches in front of the bar. Extend the other leg out in front of you, holding it off the ground. Look forward at all times and maintain a neutral or slightly arched spine. This will be your starting position.', 'Maintaining good posture, lower yourself by flexing the knee and hip, going down as far as flexibility allows.', 'Pause briefly at the bottom and then return to the starting position by driving through the heel of your foot, extending the knee and hip.'",strength,Smith_Machine_Pistol_Squat,Smith_Machine_Pistol_Squat/0.jpg,Smith_Machine_Pistol_Squat/1.jpg
Snatch Deadlift,pull,intermediate,compound,barbell,hamstrings,"forearms, glutes, hamstrings, lower back, quadriceps, traps","'The snatch deadlift strengthens the first pull of the snatch. Begin with a wide snatch grip with the barbell placed on the platform. The feet should be directly under the hips, with the feet turned out. Squat down to the bar, keeping the back in absolute extension with the head facing forward.', 'Initiate the movement by driving through the heels, raising the hips. The back angle should remain the same until the bar passes the knees.', 'At that point, drive your hips through the bar as you lay back. Return the bar to the platform by reversing the motion.'",olympic weightlifting,Snatch_Deadlift,Snatch_Deadlift/0.jpg,Snatch_Deadlift/1.jpg
Speed Box Squat,push,intermediate,compound,barbell,quadriceps,"calves, glutes, hamstrings","'Attach bands to the bar that are securely anchored near the ground. You may need to choke the bands to get adequate tension.', Use a box of an appropriate height for this exercise. Load the bar to a weight that still requires effort, but isn't so heavy that speed is compromised. Typically, that will be between 50-70% of your one rep max., 'Position the bar on your upper back, shoulder blades retracted, back arched and everything tight head to toe. This will be the starting position.', Unrack the bar and position yourself in front of the box. Sit back with your hips until you are seated on the box, ensuring that you descend under control and don't crash onto the surface., 'Pause briefly, and explode off of the box, extending through the hips and knees.'",powerlifting,Speed_Box_Squat,Speed_Box_Squat/0.jpg,Speed_Box_Squat/1.jpg
Split Squats,push,intermediate,,,hamstrings,"calves, glutes, quadriceps","'Being in a standing position. Jump into a split leg position, with one leg forward and one leg back, flexing the knees and lowering your hips slightly as you do so.', 'As you descend, immediately reverse direction, standing back up and jumping, reversing the position of your legs. Repeat 5-10 times on each leg.'",stretching,Split_Squats,Split_Squats/0.jpg,Split_Squats/1.jpg
Squat with Plate Movers,push,intermediate,compound,barbell,quadriceps,"abductors, adductors, calves, glutes, hamstrings","'To begin, first set the bar on a rack to just below shoulder level. Position a weight plate on the ground a couple feet back from the rack. Once the bar is loaded, step under it and place the back of your shoulders across it.', 'Hold on to the bar with both hands and lift it off the rack by first pushing with your legs and at the same time straighten your torso.', 'Step away from the rack and adopt a wide stance with the toes slightly pointed out, with one foot on the weight plate. Keep your head up at all times. This will be your starting position.', 'Begin to slowly lower the bar by bending the knees and hips. Continue down until the angle between the upper leg and the calves becomes slightly less than 90-degrees.', 'Raise the bar as you exhale by pushing the floor with the heels of your feet as you extend the hips and knees.', 'At the top of the movement, side step, bringing your feet together on the opposite side of the plate.', 'Using your inside foot, push the weight plate, sliding it across the floor to where you were just standing.', 'Place your inside foot on the weight plate, adopting a wide stance for the next repetition.'",strength,Squat_with_Plate_Movers,Squat_with_Plate_Movers/0.jpg,Squat_with_Plate_Movers/1.jpg
Standing Dumbbell Calf Raise,push,intermediate,isolation,dumbbell,calves,,"'Stand with your torso upright holding two dumbbells in your hands by your sides. Place the ball of the foot on a sturdy and stable wooden board (that is around 2-3 inches tall) while your heels extend off and touch the floor. This will be your starting position.', 'With the toes pointing either straight (to hit all parts equally), inwards (for emphasis on the outer head) or outwards (for emphasis on the inner head), raise the heels off the floor as you exhale by contracting the calves. Hold the top contraction for a second.', 'As you inhale, go back to the starting position by slowly lowering the heels.', 'Repeat for the recommended amount of times.'",strength,Standing_Dumbbell_Calf_Raise,Standing_Dumbbell_Calf_Raise/0.jpg,Standing_Dumbbell_Calf_Raise/1.jpg
Standing Front Barbell Raise Over Head,push,intermediate,isolation,barbell,shoulders,,"'To begin, stand straight with a barbell in your hands. You should grip the bar with palms facing down and a closer than shoulder width grip apart from each other.', 'Your feet should be shoulder width apart from each other. Your elbows should be slightly bent. This is the starting position.', 'Lift the barbell up until it is directly over your head while exhaling. Make sure to keep your elbows slightly bent when performing each repetition.', 'Once you feel the contraction, begin to lower the barbell back down to the starting position as you inhale.', 'Repeat for the recommended amount of repetitions.'",strength,Standing_Front_Barbell_Raise_Over_Head,Standing_Front_Barbell_Raise_Over_Head/0.jpg,Standing_Front_Barbell_Raise_Over_Head/1.jpg
Standing One-Arm Cable Curl,pull,intermediate,isolation,cable,biceps,,"'Start out by grabbing single handle next to the low pulley machine. Make sure you are far enough from the machine so that your arm is supporting the weight.', 'Make sure that your upper arm is stationary, perpendicular to the floor with elbows in and palms facing forward. Your non lifting arm should be grabbing your waist. This will allow you to keep your balance.', 'Slowly begin to curl the single handle upwards while keeping the upper arm stationary until your forearm touches your bicep while exhaling. Tip: Only the forearm should move.', 'Hold the contraction position as you squeeze the bicep and then lower the single handle back down to the starting position as you inhale.', 'Repeat for the recommended amount of repetitions.', 'Switch arms while performing this exercise.'",strength,Standing_One-Arm_Cable_Curl,Standing_One-Arm_Cable_Curl/0.jpg,Standing_One-Arm_Cable_Curl/1.jpg
Stiff-Legged Barbell Deadlift,pull,intermediate,compound,barbell,hamstrings,"glutes, lower back","'Grasp a bar using an overhand grip (palms facing down). You may need some wrist wraps if using a significant amount of weight.', 'Stand with your torso straight and your legs spaced using a shoulder width or narrower stance. The knees should be slightly bent. This is your starting position.', 'Keeping the knees stationary, lower the barbell to over the top of your feet by bending at the hips while keeping your back straight. Keep moving forward as if you were going to pick something from the floor until you feel a stretch on the hamstrings. Inhale as you perform this movement.', 'Start bringing your torso up straight again by extending your hips until you are back at the starting position. Exhale as you perform this movement.', 'Repeat for the recommended amount of repetitions.'",strength,Stiff-Legged_Barbell_Deadlift,Stiff-Legged_Barbell_Deadlift/0.jpg,Stiff-Legged_Barbell_Deadlift/1.jpg
Sumo Deadlift with Bands,pull,intermediate,compound,barbell,hamstrings,"adductors, forearms, glutes, lower back, middle back, quadriceps, traps","'To deadlift with short bands, simply loop them over the bar before you start, and step into them to set up. Ensure that they under the back half of your foot, directly where you are driving into the floor.', 'Begin with a bar loaded on the ground. Approach the bar so that the bar intersects the middle of the feet. The feet should be set very wide, near the collars. Bend at the hips to grip the bar. The arms should be directly below the shoulders, inside the legs, and you can use a pronated grip, a mixed grip, or hook grip.', 'Take a breath, and then lower your hips, looking forward with your head with your chest up. Drive through the floor, spreading your feet apart, with your weight on the back half of your feet. Extend through the hips and knees.', 'As the bar passes through the knees, lean back and drive the hips into the bar, pulling your shoulder blades together.', 'Return the weight to the ground by bending at the hips and controlling the weight on the way down.'",powerlifting,Sumo_Deadlift_with_Bands,Sumo_Deadlift_with_Bands/0.jpg,Sumo_Deadlift_with_Bands/1.jpg
Suspended Split Squat,push,intermediate,compound,other,quadriceps,"abductors, adductors, calves, glutes, hamstrings","'Suspend your straps so the handles are 18-30 inches from the floor.', 'Facing away from the setup, place your rear foot into the handle behind you. Keep your head looking forward and your chest up, with your knee slightly bent. This will be your starting position.', 'Descend by flexing the knee and hips, lowering yourself to the ground. Keep your weight on the heel of your foot and maintain your posture throughout the exercise.', 'At the bottom of the movement, reverse the motion, extending through the hip and knee to return to the starting position.'",strength,Suspended_Split_Squat,Suspended_Split_Squat/0.jpg,Suspended_Split_Squat/1.jpg
Two-Arm Kettlebell Clean,pull,intermediate,compound,kettlebells,shoulders,"calves, glutes, hamstrings, lower back, traps","'Place two kettlebells between your feet. To get in the starting position, push your butt back and look straight ahead.', 'Clean the kettlebells to your shoulders by extending through the legs and hips as you raise the kettlebells towards your shoulders. Rotate your wrists as you do so.', 'Lower the kettlebells back to the starting position and repeat.'",strength,Two-Arm_Kettlebell_Clean,Two-Arm_Kettlebell_Clean/0.jpg,Two-Arm_Kettlebell_Clean/1.jpg
